ASV,interaction,"Predicted pH (XGBoost, permutation)"
0,-4.7375544123932,-1.8744107
1,3.38154525131165,1.548092
2,1.48037551045497,1.5150566
3,2.74065179652201,1.0949085
4,4.27639183435738,1.7578399
5,-0.0240197574001175,0.10582936
6,-5.46608481643351,-1.4871787
7,2.06187085305738,1.5555001
8,10.8382451536931,4.7600245
9,2.98348309842397,1.801902
10,3.2559838865509,1.7997004
11,-0.0240239283010076,0.10582936
12,-5.46607366771061,-1.4871787
13,2.06186989267863,1.5555001
14,10.8382643164072,4.7600245
15,2.98348415743011,1.801902
16,3.25598058857534,1.7997004
17,0.821942286357564,1.4788291
18,-5.21794627166616,1.5555001
19,2.9816020366708,1.5302134
20,2.17619909996156,1.5555003
21,2.10799622921893,1.5302132
22,6.35580170951689,2.0313668
23,-0.578051602983226,0.097056985
24,-0.361773312425201,0.097056985
25,2.6787866107213,1.3648643
26,-4.89106987771864,1.0949082
27,2.03988894231167,1.3648643
28,7.83071347857213,1.0949082
29,1.50337184447279,1.9297733
30,-5.23752560580725,-1.874411
31,0.502246403045728,0.70575595
32,2.45981471991647,1.181599
33,1.48281239741209,1.0949082
34,6.19916155012982,1.9297734
35,1.39073729673347,1.0949084
36,3.09185648380192,1.3632951
37,0.656579975907508,1.6598172
38,-20.6955830438049,-7.317626
39,3.25127574943932,1.9659529
40,2.40662568501442,1.5302132
41,-1.34317778603521,-0.18003404
42,-0.658642353029462,0.11407983
43,3.34539165572684,1.5895221
44,-15.6500774779942,-7.317625
45,5.39761027044253,2.947795
46,-4.25447754282741,-1.874411
47,-1.88154295299806,-0.29324436
48,-0.753414431243679,0.7432406
49,3.81970349258158,1.5171217
50,-1.17748292888258,0.77870494
51,3.19078454277991,1.9297734
52,2.78260084062939,1.7578402
