,gene,permimpt
0,after COG2513,9.833305483518759
1,befor COG1143,0.7837811691355184
2,befor COG1501,0.5389837080882012
3,after COG0125,0.2457107645898547
4,after COG0609,0.08387655568163783
5,after COG2050,0.07495199609365324
6,after COG0764,0.0718171086914758
7,after COG0300,0.07075532227644077
8,befor COG0006,0.06435203910762759
9,after COG1529,0.04346302501289552
10,after COG1651,0.03749943916329892
11,befor COG0318,0.03256273609123932
12,after COG0110,0.03165176802111223
13,befor COG1070,0.03163054027405972
14,befor COG1167,0.031190397185958486
15,after COG0329,0.029780189134593016
16,befor COG1012,0.024166279330117037
17,after COG4974,0.022619763202735576
18,after COG1020,0.021341152462889035
19,befor COG0110,0.020435077203130092
20,befor COG0768,0.019181990109724812
21,befor COG0223,0.017661243846877284
22,befor COG0791,0.017289816118111645
23,after COG1917,0.01643249887196454
24,after COG0223,0.014966223003714686
25,befor COG2244,0.014373706328283387
26,after COG1082,0.01266340317630199
27,after COG0111,0.012521402584342756
28,after COG0006,0.011675099799604372
29,befor COG0346,0.00960950625999768
30,after COG0614,0.009585909846487883
31,befor COG0702,0.0092616115088747
32,after COG3121,0.009019622007950012
33,befor COG1879,0.008376187285877634
34,after COG0624,0.007924308661635937
35,after COG0399,0.007419522489441999
36,befor COG1051,0.006843214658502461
37,befor COG1024,0.006575502254819732
38,after COG1680,0.006293778276594164
39,befor COG0726,0.005305285988807551
