"","x"
"1",-4.7375544123932
"2",3.38154525131165
"3",1.48037551045497
"4",2.74065179652201
"5",4.27639183435738
"6",-0.0240197574001175
"7",-5.46608481643351
"8",2.06187085305738
"9",10.8382451536931
"10",2.98348309842397
"11",3.2559838865509
"12",-0.0240239283010076
"13",-5.46607366771061
"14",2.06186989267863
"15",10.8382643164072
"16",2.98348415743011
"17",3.25598058857534
"18",0.821942286357564
"19",-5.21794627166616
"20",2.9816020366708
"21",2.17619909996156
"22",2.10799622921893
"23",6.35580170951689
"24",-0.578051602983226
"25",-0.361773312425201
"26",2.6787866107213
"27",-4.89106987771864
"28",2.03988894231167
"29",7.83071347857213
"30",1.50337184447279
"31",-5.23752560580725
"32",0.502246403045728
"33",2.45981471991647
"34",1.48281239741209
"35",6.19916155012982
"36",1.39073729673347
"37",3.09185648380192
"38",0.656579975907508
"39",-20.6955830438049
"40",3.25127574943932
"41",2.40662568501442
"42",-1.34317778603521
"43",-0.658642353029462
"44",3.34539165572684
"45",-15.6500774779942
"46",5.39761027044253
"47",-4.25447754282741
"48",-1.88154295299806
"49",-0.753414431243679
"50",3.81970349258158
"51",-1.17748292888258
"52",3.19078454277991
"53",2.78260084062939
