,feature
0,X23S_rRNA_IVP
1,X5_nucleotid_C
2,X5.FTHF_cyc.lig
3,AA_permease
4,AAA_25
5,AAA_assoc_C
6,AAL_decarboxy
7,ABATE
8,Abhydrolase_11
9,AbiEii
10,AcetylCoA_hyd_C
11,Acetyltransf_7
12,ArsB
14,CAP_assoc_N
15,CHAD
16,CitMHS
17,CorA
18,COX6C
19,CsbD
21,DPRP
22,ExoD
23,Fer4_8
24,Glucodextran_N
25,Glyco_hydro_125
26,Gpr1_Fun34_YaaH
27,GSDH
28,GST_C_2
29,HTH_37
30,Ku
31,Lum_binding
32,MbtH
33,MgtE
34,MNHE
35,Muramidase
36,NAD_Gly3P_dh_N
38,NusG
39,OprB
40,Peptidase_C10
41,PGDYG
42,PHO4
43,Phytase.like
44,PmbA_TldD_C
45,Polbeta
46,Pro.kuma_activ
47,Queuosine_synth
48,RNase_H
49,TelA
50,TrbL
51,TspO_MBR
52,VAPB_antitox
53,WXXGXW
