,PC,permimpt
0,1,0.21693566921082005
1,4,0.09149332531381241
2,5,0.07516593575010382
3,9,0.0318019416157981
4,8,0.019480334440847024
5,16,0.017245347262766098
6,3,0.016121014073537145
7,128,0.011001078841629597
8,173,0.010577130947173363
9,2,0.009034534543892758
10,0,0.008419461707911857
11,20,0.007242732725894685
12,51,0.007107627472672085
13,91,0.006497536350870181
14,136,0.006473825304734215
15,34,0.006261098222841044
16,38,0.0061553684250878595
17,10,0.005994188731116168
18,31,0.005614598339201771
19,7,0.00510356787916324
20,23,0.004894946185232052
21,6,0.004886687868723394
22,35,0.004759439535409404
23,13,0.004749985738618312
24,142,0.004609504505700501
25,113,0.0038577819168538418
26,84,0.0034484146848525964
27,101,0.0032741869223146037
28,143,0.002739484240238377
29,70,0.002342092085392644
30,11,0.002030928464231718
31,170,0.001977347453406897
32,45,0.001966147587419265
33,80,0.0019156066997421783
34,58,0.0018914064886303538
35,118,0.0018606518302396902
36,131,0.001827399983311362
37,47,0.0017456621700074227
38,116,0.0016500669818689585
39,132,0.0016272067676980084
40,102,0.0015606606635300447
41,148,0.0014030992986925784
42,151,0.001378996646747055
43,71,0.0013655232679239183
44,129,0.0013496578826858396
45,89,0.0013055902627058247
46,49,0.0012917235472659882
47,174,0.0012779534786908186
48,149,0.0012743060879941703
49,73,0.0011987290784628124
50,86,0.0010589286999384661
51,30,0.0010289443554825084
52,37,0.0010235076188966686
53,15,0.00100739379528203
54,83,0.0010071863602124198
